ID	Weight_before	Weight_after	difference	Littersize	Partner	Weight1_P	Weight2_P	Dom1_P	Dom1	Dom2_P	Dom2	Treatment	Stress1M	Stress2M	Stress1F	Stress2F
3394	15.0	24.0	9.0	5	4663	21.3	21.2	0.28916	3.75	0.43636	4.25	PT	527.31	1165.92	51.891	186.081
3395	19.8	26.7	6.9	5	6ead51d	19.7	19.8	0.29	3.75	0.34	3.50	PT	NA	82.026	96.894	128.772
3397	18.8	15.7	-3.1	0.0	815	24.5	22.2	0.035	0.00	0.038251366	0.00	AP	100.653	148.47	80.01	129.843
3400	17.6	15.1	-2.5	0	71cc0c4	23.0	23.3	0.44624	4.75	0.15263	2.50	C	70.455	136.878	94.059	249.858
4641	22.0	28.9	6.9	5	6735206	21.1	21.3	0.151832461	1.25	0.237569061	2.25	AP	360.486	442.575	80.829	62.16
4651	14.7	16.8	2.1	0.0	4972	17.0	17.7	0.072463768	0.25	0.064102564	1.00	SO	226.38	73.29	93.828	123.228
4654	16.0	22.8	6.8	4	4945	20.8	19.6	0.28729	3.75	0.22599	3.50	AP	139.713	507.99	27.363	128.268
4656	14.8	15.3	0.5	0.0	3356	24.7	20.6	0.079754601	0.25	0.349726776	5.25	AP	196.056	349.167	44.457	NA
4666	18.8	23.3	4.5	5	NA	NA	NA	NA	NA	NA	NA	C	NA	NA	34.713	195.951
4676	17.1	18.9	1.8	0.0	3367	20.0	20.7	0.43	4.75	0.41	4.25	PT	94.437	61.488	37.149	51.03
4677	14.7	16.2	1.5	0	3396	22.1	20.5	0.64607	6.00	0.48837	1.25	C	158.97	237.93	18.417	11.697
4679	15.9	22.9	7.0	5	833	17.4	19.7	0.31056	3.75	0.04023	0.50	AP	190.848	345.45	100.023	102.123
4688	14.1	13.9	-0.2	0	4979	16.4	16.4	0.143646409	1.25	0.055276382	0.50	C	112.266	451.08	20.37	109.389
4689	15.9	20.0	4.1	5	71cd84b	20.7	22.4	0.47159	4.75	0.22034	2.75	SO	77.805	NA	35.889	319.83
4699	15.2	20.1	4.9	4	4991	21.4	21.4	0.19231	2.00	0.21687	1.75	AP	152.46	159.81	49.245	155.778
4700	17.5	27.2	9.7	4	NA	NA	NA	NA	NA	NA	NA	PT	NA	NA	105.693	206.808
4725	14.6	19.3	4.7	3	71cc2e8	27.7	26.1	0.55422	6.00	0.26804	2.00	AP	390.831	401.205	107.352	189.84
4735	17.6	17.4	-0.2	0	813	21.0	20.0	0.34409	4.25	0.07895	0.25	C	110.88	185.157	81.018	305.13
4737	20.3	21.8	1.5	0	4665	20.4	21.0	0.26708	3.25	0.16578	1.75	C	59.535	222.411	22.785	48.636
4761	16.9	27.1	10.2	2	3322	18.6	18.7	0.55621	6.00	0.41818	5.25	SO	63.315	44.52	149.499	228.69
4767	21.0	20.9	-0.1	0.0	839	18.5	19.2	0.69	6.00	0.54	5.00	PT	94.878	220.815	46.83	34.797
4795	23.1	28.6	5.5	5	4650	23.0	23.0	0.58	6.00	0.67	5.75	PT	136.983	108.738	35.574	46.41
4809	17.8	18.3	0.5	0	3315	26.6	23.2	0.47059	4.75	0.36413	3.75	C	81.354	117.579	27.489	46.809
4813	22.6	20.5	-2.1	3	71ce815	21.5	19.6	0.54589	5.75	0.22892	3.00	AP	94.017	162.54	31.29	43.47
4814	17.9	25.4	7.5	6	71D0587	28.4	29.4	0.26190	3.25	0.46860	5.00	AP	118.23	NA	88.914	81.102
4831	21.7	29.4	7.7	4	3306	17.9	18.8	0.46	4.75	0.30	1.50	PT	74.088	93.345	339.402	94.92
4835	17.6	23.0	5.4	5	4821	NA	NA	NA	NA	NA	NA	SO	NA	NA	14.721	45.612
4838	17.0	19.5	2.5	4	4917	16.1	15.7	0.56	6.00	0.56	5.25	PT	110.481	64.26	40.341	84.441
4849	15.9	16.7	0.8	0.0	71CD84B	NA	NA	NA	NA	NA	0.75	AP	77.805	NA	53.676	32.34
4865	17.6	23.6	6.0	4	4647	23.8	23.8	0.071428571	0.25	0.02173913	0.00	AP	254.814	164.409	NA	60.312
4887	19.7	19.6	-0.1	0.0	843	15.7	21.9	0.28729	3.50	0.37566	5.25	SO	93.66	79.611	171.297	45.99
4902	16.0	19.2	3.2	4	3392	18.8	20.1	0.069892473	0.25	0.026595745	0.00	C	87.528	174.342	140.49	117.222
4903	17.5	21.5	4.0	2	3321	21.9	20.0	0.49068	5.25	0.61749	6.00	SO	59.346	123.627	163.632	68.817
4905	14.7	20.5	5.8	5	4659	18.6	19.1	0.18471	1.50	0.06044	3.00	PT	276.402	173.04	59.934	98.322
4906	18.4	21.7	3.3	5	4978	16.3	18.2	0.28804	3.75	0.24444	3.75	C	258.3	452.025	34.986	67.683
4912	16.5	24.0	7.5	6	772	17.5	18.7	0.075471698	0.25	0.081395349	1.25	AP	311.01	380.415	53.76	75.243
4913	17.5	22.8	5.3	4	E0814	20.5	18.6	0.27933	3.75	0.09816	2.25	AP	202.524	261.24	29.106	162.792
4914	14.2	20.0	5.8	3.0	123	20.9	18.2	0.48649	5.00	0.12088	4.50	PT	179.697	832.86	47.355	120.057
4918	12.5	16.2	3.7	0	3329	24.5	22.3	0.51381	5.50	0.22424	2.00	C	69.636	94.458	56.343	115.269
4919	12.7	19.3	6.6	4	3393	19.5	22.2	0.51149	5.50	0.52326	6.00	AP	488.46	545.37	44.457	350.28
4926	14.3	19.9	5.6	1	4958	24.2	22.1	0.53695	5.75	0.16667	3.25	PT	153.321	109.788	45.213	118.524
4927	16.2	17.2	1.0	0.0	71DOB7A	27.1	26.6	0.65269	6.00	0.62366	5.25	PT	NA	NA	81.249	44.226
4937	17.1	20.2	3.1	2	841	17.4	19.3	0.30000	3.75	0.25543	3.25	AP	71.862	236.04	33.138	118.902
4938	14.9	24.7	9.8	4	3389	17.0	18.6	0.20109	2.50	0.03125	0.50	SO	86.037	44.856	80.43	151.263
4939	18.3	23.0	4.7	4	4803	20.9	21.4	0.45	4.75	0.49	4.00	PT	240.912	219.954	174.636	217.938
4940	16.2	20.1	3.9	3	4915	20.5	19.1	0.112359551	0.75	0.124223602	0.25	SO	174.069	189.315	34.902	109.074
4946	18.3	19.5	1.2	0.0	125	17.5	19.6	0.55026	6.00	0.39153	3.75	SO	44.646	124.152	68.376	143.724
4950	18.5	15.6	-2.9	0.0	4812	25.8	23.8	0.44	4.75	0.02	0.50	PT	65.121	117.957	50.463	88.326
4951	13.9	22.1	8.2	5	4952	18.7	NA	0.40323	4.75	NA	NA	PT	NA	NA	53.277	187.656
4956	20.4	25.2	4.8	4	6733f34	26.9	27.2	0.27692	3.50	0.09551	2.50	C	196.392	226.842	63.924	116.529
4957	14.9	24.8	9.9	6	818	26.0	25.8	0.096969697	0.75	0.021621622	0.25	AP	210.63	292.887	289.59	367.437
4959	19.6	21.9	2.3	4	3366	18.5	20.3	0.71845	6.00	0.64286	6.00	C	NA	103.53	72.513	132.006
4965	15.5	20.7	5.2	2	4982	19.8	21.3	0.72727	6.00	0.26452	3.00	AP	314.853	249.711	490.98	269.976
4966	17.0	19.6	2.6	4	3310	20.4	19.7	0.054054054	0.00	0.152631579	0.75	C	116.571	235.452	176.904	203.07
4968	15.3	12.9	-2.4	0.0	828	13.8	20.8	0.079787234	0.50	0.185628743	0.25	SO	73.416	73.332	108.885	93.702
4969	12.7	18.2	5.5	4	4980	16.5	18.7	0.36364	4.50	0.53977	4.75	C	193.41	248.178	117.285	128.646
4974	14.6	14.0	-0.6	0.0	3355	18.6	18.8	0.26630	3.25	0.31361	4.50	SO	306.18	347.886	54.495	144.711
4976	18.2	22.2	4.0	2	4852	18.8	20.9	0.069892473	0.25	0.016304348	0.00	C	81.06	156.366	39.522	359.037
4977	15.1	13.6	-1.5	0	NA	NA	NA	NA	NA	NA	NA	C	NA	NA	67.494	45.234
4981	17.7	23.0	5.3	0.0	848	17.4	17.9	0.134078212	1.25	0.111111111	1.25	AP	185.052	464.667	100.947	228.816
4987	19.9	21.2	1.3	0	826	17.8	21.7	0.25654	3.25	0.11602	1.25	C	77.238	385.98	74.109	122.031
4989	15.0	17.7	2.7	0	4949	14.2	15.1	0.28351	3.75	0.25281	0.25	C	216.321	256.074	128.604	384.216
4992	12.1	20.2	8.1	4	3385	19.5	18.9	0.18617	1.75	0.14211	1.00	AP	295.806	370.545	56.595	135.996
4993	17.8	18.4	0.6	0.0	3380	20.0	18.1	0.38235	4.75	0.19372	0.50	SO	384.3	356.769	99.225	110.019
4997	15.2	21.2	6.0	5	0819	21.3	20.7	0.021857923	0.00	0.023255814	0.00	PT	NA	149.121	47.67	269.43
5000	17.3	21.2	3.9	4	753	17.8	20.8	0.38764	4.75	0.50331	6.00	AP	200.277	395.766	50.421	66.066
