Mother	Treatment	Weight	Littersize	Weight_before	Weight_after	difference	Partner	Weight1_P	Weight2_P	Dom1_P	Dom2_P	Dom1	Dom2
6EAB790	APC	2.61	4	19.3	23.6	4.3	845	19.8	27.3	0.34637	0.04324	4.25	0.5
6EAB790	APC	2.78	4	19.3	23.6	4.3	845	19.8	27.3	0.34637	0.04324	4.25	0.5
6EAB790	APC	3.01	4	19.3	23.6	4.3	845	19.8	27.3	0.34637	0.04324	4.25	0.5
6EAB790	APC	2.91	4	19.3	23.6	4.3	845	19.8	27.3	0.34637	0.04324	4.25	0.5
71CCE25	AP	3.46	5	20.2	24.3	4.1	767	26.2	24.4	0.14516129	0.55026455	1.25	1
71CCE25	AP	3.14	5	20.2	24.3	4.1	767	26.2	24.4	0.14516129	0.55026455	1.25	1
71CCE25	AP	3.21	5	20.2	24.3	4.1	767	26.2	24.4	0.14516129	0.55026455	1.25	1
71CCE25	AP	2.71	5	20.2	24.3	4.1	767	26.2	24.4	0.14516129	0.55026455	1.25	1
71CCE25	AP	3.45	5	20.2	24.3	4.1	767	26.2	24.4	0.14516129	0.55026455	1.25	1
71CF2B1	APC	2.89	4	17.5	23.1	5.6	4973	20.7	20	0.154285714	0.141414141	1.25	1
71CF2B1	APC	3.3	4	17.5	23.1	5.6	4973	20.7	20	0.154285714	0.141414141	1.25	1
71CF2B1	APC	2.95	4	17.5	23.1	5.6	4973	20.7	20	0.154285714	0.141414141	1.25	1
71CF2B1	APC	2.78	4	17.5	23.1	5.6	4973	20.7	20	0.154285714	0.141414141	1.25	1
71CFD7D	AP	1.88	6	17.3	23.2	5.9	4816	25.8	20.3	0.61818	0.58659	6	5.75
71CFD7D	AP	1.58	6	17.3	23.2	5.9	4816	25.8	20.3	0.61818	0.58659	6	5.75
71CFD7D	AP	1.62	6	17.3	23.2	5.9	4816	25.8	20.3	0.61818	0.58659	6	5.75
71CFD7D	AP	1.8	6	17.3	23.2	5.9	4816	25.8	20.3	0.61818	0.58659	6	5.75
71CFD7D	AP	1.96	6	17.3	23.2	5.9	4816	25.8	20.3	0.61818	0.58659	6	5.75
71CFD7D	AP	1.83	6	17.3	23.2	5.9	4816	25.8	20.3	0.61818	0.58659	6	5.75
