VoleID	sex	Treatment	ng/50mg	LitterBin	Difference
4950	f	PT	88.326	0	37.863
4951	f	PT	187.656	1	134.379
4956	f	C	116.529	1	52.605
4957	f	AP	367.437	1	77.847
4958	m	PT	109.788	0	-43.533
4959	f	C	132.006	1	59.493
4965	f	AP	269.976	1	-221.004
4966	f	C	203.07	1	26.166
4968	f	SO	93.702	0	-15.183
4969	f	C	128.646	1	11.361
4971	m	PT	192.759	0	-78.078
4972	m	SO	73.29	0	-153.09
4973	m	SO	127.89	0	-14.07
4974	f	SO	144.711	0	90.216
4976	f	C	359.037	1	319.515
4977	f	C	80.976	0	13.482
4978	m	C	452.025	0	193.725
4979	m	C	451.08	0	338.814
4980	m	C	248.178	0	54.768
4981	f	AP	228.816	0	127.869
4982	m	AP	249.711	0	-65.142
4987	f	C	122.031	0	47.922
4989	f	C	384.216	0	255.612
4991	m	AP	159.81	0	7.35
4992	f	AP	135.996	1	79.401
4993	f	SO	110.019	0	10.794
4996	m	C	228.648	0	21
4997	f	PT	269.43	1	221.76
4998	m	PT	168.609	0	-39.081
4999	m	C	187.593	0	147.588
5000	f	AP	66.066	1	15.645
6735206	m	AP	442.575	0	82.089
0167A	m	PT	173.775	0	47.292
6733F34	m	C	226.842	0	30.45
6EAB790	f	SO	176.715	1	105.294
71CB389	f	PT	NA	0	NA
71CBEOB	m	C	188.055	0	-14.637
71CC0C4	m	C	136.878	0	66.423
71CC2E8	m	AP	401.205	0	10.374
71CC73D	m	AP	215.187	0	132.636
71cca5f	m	SO	17.619	0	-12.327
71CCE25	f	AP	90.447	1	40.887
71CD84B	m	AP	NA	0	NA
71CE1AC	f	SO	19.488	0	-57.204
71CE815	m	AP	162.54	0	68.523
71CF2B1	f	SO	26.817	1	-71.526
71cf931	m	SO	484.89	0	421.365
71CFD7D	f	AP	102.816	1	51.219
71CFOA0	f	PT	15.33	0	-9.933
71D0587	m	AP	NA	0	NA
71D09B9	m	PT	107.646	0	-44.94
A	m	SO	69.447	0	-105.714
